"branch","group","risk","last_commit_date","subject","connected_worktree","reason","recommended_action"
"feat/precise-analysis-jd-url-import","D","HIGH","2026-05-12","fix(reject): emphasize AI pending state (#274)","","recent_7d","SKIP_DANGER"
"feat/rejection-jd-requirement-decomposer-p1b-clean-v2","D","HIGH","2026-05-09","feat(rejection): add JD requirement decomposer","YES","worktree_attached","SKIP_DANGER"
"feat/rejection-p2-1-rolefit-context-risk-engines","D","HIGH","2026-05-09","feat(rejection): connect role-fit context to risk engines","","recent_7d","SKIP_DANGER"
"feat/rejection-p2-2a-achievement-keyword-context","D","HIGH","2026-05-09","feat(rejection): add structured context to achievement and keyword risks","","recent_7d","SKIP_DANGER"
"feat/rejection-p2-2b-gap-context","D","HIGH","2026-05-09","fix(newgrad): clarify edtech industry context (2李?","","recent_7d","SKIP_DANGER"
"feat/rejection-p3-1-grounded-ai-explanation-v2","D","HIGH","2026-05-09","feat(rejection): ground AI explanation on compositeRisk (P3-1)","","recent_7d","SKIP_DANGER"
"feat/rejection-p4-1-grounded-ai-ui-v2","D","HIGH","2026-05-09","feat(rejection): surface grounded AI rewrite guidance in UI","","recent_7d","SKIP_DANGER"
"feat/rejection-resume-career-interpreter-p1a-clean","D","HIGH","2026-05-09","fix(rejection): ground resume career recency in current date","","recent_7d","SKIP_DANGER"
"feat/rejection-role-fit-career-matcher-p1c-clean-v2","D","HIGH","2026-05-09","feat(rejection): add role-fit career matcher P1-C","YES","worktree_attached","SKIP_DANGER"
"feat/required-cert-gate","D","HIGH","2026-05-11","feat(decision): add required certification gate","YES","worktree_attached","SKIP_DANGER"
"feat/required-gate-signals-contract","D","HIGH","2026-05-11","fix(decision): reuse fit for required gate signals","","recent_7d","SKIP_DANGER"
"feat/required-major-gate","D","HIGH","2026-05-11","feat(decision): add required major gate","","recent_7d","SKIP_DANGER"
"feat/resume-ai-import-shell","D","HIGH","2026-05-03","feat(resume): add AI import preview shell","YES","worktree_attached","SKIP_DANGER"
"feat/web-push-subscription-foundation","D","HIGH","2026-05-11","feat(reminder): add web push subscription foundation","","recent_7d","SKIP_DANGER"
"feat/weekly-experience-recall-preferences","D","HIGH","2026-05-11","refactor(reminder): keep preference contract channel-agnostic","","recent_7d","SKIP_DANGER"
"feat/weekly-push-delivery-foundation","D","HIGH","2026-05-11","fix(reminder): normalize preference lookup failure","YES","worktree_attached","SKIP_DANGER"
"feat/worker-resume-import-ai","D","HIGH","2026-05-03","feat(worker): add AI resume import endpoint","YES","worktree_attached","SKIP_DANGER"
"feature/career-transition-smoke-coverage-marketing-sales","D","HIGH","2026-05-03","test: cover marketing sales transition archetypes","","danger_pattern","SKIP_DANGER"
"feature/job-alias-phase1-patch","D","HIGH","2026-05-03","fix(newgrad): expand job alias coverage phase1","","danger_pattern","SKIP_DANGER"
"fix/activate-cert-gate-suppression","D","HIGH","2026-05-11","fix(decision): suppress duplicate certification risks under gate","YES","worktree_attached","SKIP_DANGER"
"fix/ai-draft-login-required-feedback","D","HIGH","2026-05-03","Merge branch 'release/career-transition-copy-quality-batch-4e'","YES","worktree_attached","SKIP_DANGER"
"fix/ai-resume-button-current-user-gate","D","HIGH","2026-05-03","fix(ai): keep draft button enabled before login gate","YES","worktree_attached","SKIP_DANGER"
"fix/ai-resume-draft-enable-from-current-record","D","HIGH","2026-05-03","fix(ai): enable resume draft generation from current record","YES","worktree_attached","SKIP_DANGER"
"fix/auth-supabase-env-github-pages","D","HIGH","2026-05-03","fix(auth): restore Supabase env wiring for GitHub Pages","YES","worktree_attached","SKIP_DANGER"
"fix/axis1-industrial-engineering-pm-bridge","D","HIGH","2026-05-04","fix(newgrad): add industrial engineering PM bridge","YES","worktree_attached","SKIP_DANGER"
"fix/axis1-round2-other-humanities-p0","D","HIGH","2026-05-04","fix(newgrad): soften humanities content marketing bridge","YES","worktree_attached","SKIP_DANGER"
"fix/axis2-archetype-detail-labels","D","HIGH","2026-05-04","fix(newgrad): apply industry guidance to axis2 detail labels","YES","worktree_attached","SKIP_DANGER"
"fix/axis2-consulting-research-archetype","C","MEDIUM","2026-05-04","fix(newgrad): map consulting research industry archetype","","recent_14d","REVIEW_THEN_DELETE"
"fix/axis5-strength-only-clean","D","HIGH","2026-05-04","fix(newgrad): improve Axis5 strength workstyle grounding","YES","worktree_attached","SKIP_DANGER"
"fix/career-compound-read","D","HIGH","2026-05-08","feat(career): add compound transition read","YES","worktree_attached","SKIP_DANGER"
"fix/career-compound-read-copy-tune","D","HIGH","2026-05-08","fix(career): cover public finance compound read","YES","worktree_attached","SKIP_DANGER"
"fix/career-strength-evidence-aware-origin","D","HIGH","2026-05-08","feat(career-strength): add evidence context for origin line templates","YES","worktree_attached","SKIP_DANGER"
"fix/career-strength-evidence-aware-templates","D","HIGH","2026-05-08","fix(career-strength): apply evidence-aware framing to top 3 origin templates","YES","worktree_attached","SKIP_DANGER"
"fix/career-strength-risk-target-context-clean","D","HIGH","2026-05-08","fix(career): refine strength risk copy by target context","","recent_7d","SKIP_DANGER"
"fix/career-strength-template-grounding-copy","D","HIGH","2026-05-08","fix(experienced): soften unsupported strength origin templates","YES","worktree_attached","SKIP_DANGER"
"fix/career-validation-card-copy-assembly","D","HIGH","2026-05-08","fix(career): stabilize validation card copy assembly","YES","worktree_attached","SKIP_DANGER"
"fix/certification-alias-coverage-phase1","D","HIGH","2026-05-11","fix(decision): expand certification alias coverage phase1","","recent_7d","SKIP_DANGER"
"fix/compound-creative-infra-read","D","HIGH","2026-05-08","Merge pull request #159 from true-hr/fix/resume-ai-input-loading-before-navigation","YES","worktree_attached","SKIP_DANGER"
"fix/experienced-axis3-both-cross-gap","D","HIGH","2026-05-09","fix(transition): add both-cross axis3 responsibility gap","","recent_7d","SKIP_DANGER"
"fix/experienced-axis3-cap-explanation","D","HIGH","2026-05-09","fix(transition): explain capped responsibility scope reads","","recent_7d","SKIP_DANGER"
"fix/experienced-axis3-cross-industry-explanation-v2","D","HIGH","2026-05-09","fix(transition): clarify experienced axis3 cross-industry explanation","","recent_7d","SKIP_DANGER"
"fix/experienced-industry-relevance-tier-gate","D","HIGH","2026-05-11","fix(transition): finish minimal-tier job-centered reads","","recent_7d","SKIP_DANGER"
"fix/experienced-transition-combination-read-3","D","HIGH","2026-05-09","Merge branch 'origin/main' into fix/experienced-transition-combination-read-3","","recent_7d","SKIP_DANGER"
"fix/experienced-transition-read-stability","D","HIGH","2026-05-09","fix(newgrad): pass axis4 interaction evidence to buildNewgradAxisPack","","recent_7d","SKIP_DANGER"
"fix/experienced-transition-read-stability-2","D","HIGH","2026-05-09","fix(transition): stabilize experienced report reads","","recent_7d","SKIP_DANGER"
"fix/experienced-transition-scoring-calibration-2","D","HIGH","2026-05-09","fix(transition): calibrate experienced role scoring","","recent_7d","SKIP_DANGER"
"fix/github-pages-api-routing-plus-enhance","D","HIGH","2026-05-10","fix(rejection): route github pages ai calls to vercel","YES","worktree_attached","SKIP_DANGER"
"fix/industry-customer-structure-cap","C","MEDIUM","2026-05-07","fix(experienced): cap customer structure fit for regulated sectors","","recent_14d","REVIEW_THEN_DELETE"
"fix/mobile-dashboard-compact-redesign","C","MEDIUM","2026-05-01","feat(mobile): compact dashboard layout","","recent_14d","REVIEW_THEN_DELETE"
"fix/mobile-entry-ux-round1","D","HIGH","2026-05-02","fix(mobile): improve analysis entry and login flow","YES","worktree_attached","SKIP_DANGER"
"fix/mobile-home-login-cta-round2c","D","HIGH","2026-05-03","fix(mobile): add login CTA to home dashboard for unauthenticated users","","danger_pattern","SKIP_DANGER"
"fix/mobile-home-record-status-card","C","MEDIUM","2026-05-03","fix(mobile): show work record status on home","","recent_14d","REVIEW_THEN_DELETE"
"fix/mobile-home-record-status-round3b","C","MEDIUM","2026-05-03","fix(mobile): resolve home record status conflict","","recent_14d","REVIEW_THEN_DELETE"
"fix/mobile-post-save-prompt","C","MEDIUM","2026-05-03","fix(mobile): prompt AI resume draft after saving record","","recent_14d","REVIEW_THEN_DELETE"
"fix/mobile-post-save-prompt-round3c","C","MEDIUM","2026-05-03","fix(mobile): add post-save prompt for work records","","recent_14d","REVIEW_THEN_DELETE"
"fix/mobile-result-ux-round2a","C","MEDIUM","2026-05-02","fix(mobile): refine transition result summary and sections","","recent_14d","REVIEW_THEN_DELETE"
"fix/mobile-week-strip-round3d","D","HIGH","2026-05-03","fix(mobile): add weekly record strip","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-ambiguous-job-input-ui-phase2a","D","HIGH","2026-05-03","Merge pull request #35 from true-hr/feature/job-alias-phase1-patch","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-bridge-content-batch1","D","HIGH","2026-05-11","fix(newgrad): add axis1 bridge content batch1","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-bridge-coverage-batch1","C","MEDIUM","2026-05-04","fix(newgrad): expand Axis1 major job bridge coverage Batch 1","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis1-bridge-sync-structural","D","HIGH","2026-05-11","fix(newgrad): add alias map for score-side major keys in bridge resolver","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-canonical-detail-reading","D","HIGH","2026-05-04","fix(newgrad): render Axis1 detail reading on comparison row","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-economics-pmm-major-key-hit","C","MEDIUM","2026-05-03","fix(newgrad): ensure economics PMM Axis1 bridge condition hits","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis1-job-specific-batch1a","D","HIGH","2026-05-03","fix(newgrad): align Axis1 job-specific detail meta","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-job-specific-batch1b","D","HIGH","2026-05-03","Merge pull request #36 from true-hr/fix/newgrad-axis1-job-specific-batch1a","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-job-specific-batch1b-v2","D","HIGH","2026-05-03","feat(newgrad): add Axis1 job-specific actions for planning marketing HR","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-job-specific-batch1c","D","HIGH","2026-05-03","feat(newgrad): add Axis1 job-specific actions for finance SCM manufacturing","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-major-job-fit-grounding","C","MEDIUM","2026-05-04","fix(newgrad): improve Axis1 major job fit grounding","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis1-p3a-metadata-accounting","D","HIGH","2026-05-03","fix(newgrad): correct axis1 metadata and accounting profile","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-p3b3-polish","D","HIGH","2026-05-03","fix(newgrad): polish axis1 p3b3 role profile guidance","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-pmm-economics-output-quality","D","HIGH","2026-05-03","fix(newgrad): improve Axis1 economics PMM output quality","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p1","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p1","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p2","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p2","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p3b1","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p3b1","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p3b2","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p3b2","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p3b3","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p3b3","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p3b4","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p3b4","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p3b5","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p3b5","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p3b6","D","HIGH","2026-05-03","fix(newgrad): add axis1 role profiles p3b6","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-role-profiles-p3b7","D","HIGH","2026-05-03","feat(newgrad): add Axis1 role profiles for 12 job categories (P3-B-7)","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis1-service-planning-bridge-key","D","HIGH","2026-05-11","fix(newgrad): narrow service planning alias to safe-scope profiles only","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-batch2a-copy-quality","C","MEDIUM","2026-05-03","fix(newgrad): specialize Axis2 industry understanding copy for batch 2a","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-batch2a-finance-insurance-card","D","HIGH","2026-05-04","feat(newgrad): expand axis2 finance industry guidance","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-batch2b-education-edtech","D","HIGH","2026-05-04","Merge pull request #69 from true-hr/docs/axis1-round2-inputs","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-batch2bc-dropdown-registry","C","MEDIUM","2026-05-04","Merge pull request #81 from true-hr/qa/newgrad-report-e2e-after-axis1","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-batch2c-content-media-entertainment","C","MEDIUM","2026-05-04","feat(newgrad): complete axis2 media entertainment batch","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-batch2d-public-services","C","MEDIUM","2026-05-04","fix(newgrad): vary axis4 stakeholder role hint copy clean","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-batch2e-manufacturing-it-retail","C","MEDIUM","2026-05-04","Merge pull request #93 from true-hr/fix/newgrad-axis4-typo-match-contact","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-batch2e-manufacturing-it-retail-clean","C","MEDIUM","2026-05-04","feat(newgrad): recreate axis2 batch2e manufacturing it retail industries","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-batch2f-logistics-construction-energy-clean","C","MEDIUM","2026-05-04","feat(newgrad): add 15 new industries to axis2 batch 2-F registry","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-batch2g-healthcare-lifestyle-services","C","MEDIUM","2026-05-04","fix(newgrad): wire axis2 batch2g industry dropdown options","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-card1-industry-background-batch1b","D","HIGH","2026-05-03","fix(newgrad): improve axis2 industry background copy","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-card2-work-context-batch1c","D","HIGH","2026-05-04","fix(newgrad): improve axis2 industry work context copy","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-card3-industry-archetypes-batch1a","C","MEDIUM","2026-05-03","fix(newgrad): fix axis2 industry guidance build","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-case3-case13-context-polish","D","HIGH","2026-05-04","fix(newgrad): polish Axis2 manufacturing and SaaS context","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-comparison-block-copy","D","HIGH","2026-05-03","fix(newgrad): clarify Axis2 comparison evidence label","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-education-label-mapping","C","MEDIUM","2026-05-04","fix(newgrad): expand axis2 education label mapping","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-industry-context-grounding","D","HIGH","2026-05-04","fix(newgrad): improve Axis2 industry context grounding","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-industry-copy-separation-clean","D","HIGH","2026-05-09","Merge pull request #174 from true-hr/fix/newgrad-axis5-service-planning-traits-clean","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis2-industry-copy-separation-clean-final","D","HIGH","2026-05-09","Merge pull request #174 from true-hr/fix/newgrad-axis5-service-planning-traits-clean","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis2-industry-copy-separation-clean-v2","D","HIGH","2026-05-09","fix(newgrad): separate industry context copy in Axis2","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis2-lift-rendering-field","C","MEDIUM","2026-05-03","fix(newgrad): render Axis2 industry lift guidance","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis2-pharma-ra-specialization","D","HIGH","2026-05-12","feat(axis2): add pharmaceutical횞REGULATORY_AFFAIRS specialization entry","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis2-repeatability-export","D","HIGH","2026-05-03","Merge pull request #60 from true-hr/fix/newgrad-axis2-card3-industry-archetypes-batch1a","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis3-detail-reading-phase1","C","MEDIUM","2026-05-04","fix(newgrad): soften axis4 conservative tone wording","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-detail-reading-phase1-clean","D","HIGH","2026-05-04","fix(newgrad): improve axis3 detail reading with input-based copy","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis3-detail-signal-separation","C","MEDIUM","2026-05-04","fix(newgrad): route axis4 stakeholder copy to comparison block","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-detail-signal-separation-clean","C","MEDIUM","2026-05-04","fix(newgrad): separate Axis3 detail reading signals for outcome/repeatability/combination","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-experience-evidence-grounding-clean","C","MEDIUM","2026-05-04","fix(newgrad): improve Axis3 experience evidence grounding with job-specific translations","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis3-final-explanation-entrypoint","D","HIGH","2026-05-04","fix(newgrad): centralize Axis3 final explanation output","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis3-phase3-qa-polish","D","HIGH","2026-05-04","fix(newgrad): polish axis3 empty and mixed experience guidance","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis4-comparison-block-output-path","C","MEDIUM","2026-05-04","Merge pull request #102 from true-hr/chore/vercel-production-redeploy-trigger","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-conservative-tone-hotfix","D","HIGH","2026-05-04","fix(newgrad): soften axis4 conservative tone wording","","danger_pattern","SKIP_DANGER"
"fix/newgrad-axis4-copy-variation-final","C","MEDIUM","2026-05-04","fix(newgrad): axis4 stakeholder role hint copy structure - clean","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-evidence-transmission-clean","D","HIGH","2026-05-09","fix(newgrad): pass axis4 interaction evidence to buildNewgradAxisPack","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis4-job-stakeholder-profiles-batch1","C","MEDIUM","2026-05-04","fix(newgrad): correct Axis4 PMM stakeholder profile key mapping","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-p3-industry-context-registry","C","MEDIUM","2026-05-04","feat(newgrad): add axis4 industry stakeholder context registry","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-p3-render-industry-context","C","MEDIUM","2026-05-04","feat(newgrad): add 15 new industries to axis2 batch 2-E registry","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-p3-wire-industry-context","C","MEDIUM","2026-05-04","feat(newgrad): wire axis4 industry context into evidence summary","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-stakeholder-context-grounding","C","MEDIUM","2026-05-04","fix(newgrad): define Axis4 FP&A stakeholder context","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-stakeholder-copy-variation-clean","C","MEDIUM","2026-05-04","fix(newgrad): vary axis4 stakeholder role hint copy clean","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis4-typo-match-contact","C","MEDIUM","2026-05-04","fix(newgrad): correct axis4 contact typo","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-axis5-detail-render-contract","D","HIGH","2026-05-03","fix(newgrad): render axis5 judgment copy in detail cards","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis5-get-strength-groups-hotfix","D","HIGH","2026-05-03","Merge pull request #31 from true-hr/fix/newgrad-axis5-soft-trait-profile-clean","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-axis5-get-strength-groups-hotfix-v2","D","HIGH","2026-05-03","fix(newgrad): define axis5 trait group helpers","","danger_pattern","SKIP_DANGER"
"fix/newgrad-axis5-service-planning-traits","D","HIGH","2026-05-09","fix(transition): calibrate experienced role scoring","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis5-service-planning-traits-clean","D","HIGH","2026-05-09","fix(newgrad): use service planning axis5 copy profile","","recent_7d","SKIP_DANGER"
"fix/newgrad-axis5-strength-workstyle-grounding","C","MEDIUM","2026-05-04","fix(newgrad): improve Axis4 stakeholder context grounding","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-industry-archetype-alias-match","D","HIGH","2026-05-09","fix(newgrad): refine borderline industry archetype aliases","","recent_7d","SKIP_DANGER"
"fix/newgrad-job-alias-coverage-phase1","D","HIGH","2026-05-03","Merge pull request #34 from true-hr/fix/newgrad-axis5-profile-coverage","YES","worktree_attached","SKIP_DANGER"
"fix/newgrad-legal-services-archetype","D","HIGH","2026-05-09","fix(newgrad): add legal services industry archetype","","recent_7d","SKIP_DANGER"
"fix/newgrad-mixed-market-b2bsignal","D","HIGH","2026-05-09","fix(newgrad): generalize mixed-market signal text","","recent_7d","SKIP_DANGER"
"fix/newgrad-mobile-goal-connection-structure-compact","C","MEDIUM","2026-05-05","fix(newgrad): move goal connection before radar","","recent_14d","REVIEW_THEN_DELETE"
"fix/newgrad-whatif-priority-map-step7a","D","HIGH","2026-05-11","fix(newgrad): prioritize what-if actions by target job","YES","worktree_attached","SKIP_DANGER"
"fix/openai-provider-resume-generate","D","HIGH","2026-05-02","feat(ai): add OpenAI provider for resume generation","YES","worktree_attached","SKIP_DANGER"
"fix/openai-worker-vercel-delegation","D","HIGH","2026-05-04","fix(ai): delegate OpenAI calls through Vercel proxy","","danger_pattern","SKIP_DANGER"
"fix/precise-analysis-result-rendering","C","MEDIUM","2026-05-07","fix(precise-analysis): fix runtime scope errors in analysis execution","","recent_14d","REVIEW_THEN_DELETE"
"fix/record-ai-cta-and-type-examples","D","HIGH","2026-05-02","fix(record): restore type examples and AI CTA state","YES","worktree_attached","SKIP_DANGER"
"fix/record-auth-ai-cta-state","D","HIGH","2026-05-02","fix(record): align auth state for saved records and AI CTA","YES","worktree_attached","SKIP_DANGER"
"fix/rejection-p3-1b-grounded-ai-prompt-quality","D","HIGH","2026-05-09","fix(rejection): stabilize grounded AI explanation prompt","","recent_7d","SKIP_DANGER"
"fix/reminder-settings-disclosure","D","HIGH","2026-05-11","fix(reminder): make notification settings expandable","","recent_7d","SKIP_DANGER"
"fix/reminder-settings-ui-cleanup","D","HIGH","2026-05-11","refactor(reminder): simplify settings experience","YES","worktree_attached","SKIP_DANGER"
"fix/report-accuracy-p0-integrated","C","MEDIUM","2026-05-07","fix(experienced): integrate validation intro and QC copy fixes","","recent_14d","REVIEW_THEN_DELETE"
"fix/required-gate-signals-risk-ctx","D","HIGH","2026-05-11","feat(decision): pass required gate signals into risk ctx","","recent_7d","SKIP_DANGER"
"fix/resume-ai-after-card-clean","D","HIGH","2026-05-08","feat(precise-analysis): add AI recruiter-view rejection analysis","","recent_7d","SKIP_DANGER"
"fix/resume-ai-after-card-loading-state","D","HIGH","2026-05-08","Merge pull request #158 from true-hr/fix/resume-ai-after-card-loading-state","","recent_7d","SKIP_DANGER"
"fix/resume-ai-after-preview-debug","C","MEDIUM","2026-05-06","Merge pull request #145 from true-hr/fix/resume-ai-state-render-binding","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-bullet-preview-rendering-clean","C","MEDIUM","2026-05-06","fix(resume): render successful AI bullet in preview","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-input-loading-before-navigation","D","HIGH","2026-05-08","fix(career): ground validation cards in current context","","recent_7d","SKIP_DANGER"
"fix/resume-ai-production-response-diagnosis","C","MEDIUM","2026-05-06","Merge pull request #144 from true-hr/fix/resume-ai-success-state-binding","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-selected-record-source-binding","C","MEDIUM","2026-05-06","fix(resume): bind selected record to AI update preview","","recent_14d","REVIEW_THEN_DELETE"
"fix/resume-ai-source-binding-audit-clean","D","HIGH","2026-05-06","Merge pull request #145 from true-hr/fix/resume-ai-state-render-binding","YES","worktree_attached","SKIP_DANGER"
"fix/resume-ai-state-render-binding","D","HIGH","2026-05-06","fix(resume): bind AI generated bullet to update preview","YES","worktree_attached","SKIP_DANGER"
